,Name,Theme,Filter,transformation,splines
1060,Dívida mobiliária interna federal - fora do BC - posição em carteira - fim de período,Finanças públicas,0,0,0
1063,DSLP -  total - estados e municípios,Finanças públicas,0,0,0
1064,DSLP -  total - estados e municípios - % do PIB,Finanças públicas,0,0,0
1065,DSLP - total - Governo Federal e Banco Central,Finanças públicas,0,0,0
1066,DSLP - total - Governo Federal e Banco Central - % do PIB,Finanças públicas,0,0,0
1070,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional-posição em carteira - LTN,Finanças públicas,0,0,0
1080,NFSP - estados e municípios - juros nominais - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,0,0
1081,NFSP - estados e municípios - juros nominais - s/ desvalorização cambial,Finanças públicas,0,1,0
1082,NFSP - estados e municípios - juros nominais - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,0,0
1083,NFSP - estados e municípios - nominal - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,1,0
1084,NFSP - estados e municípios - nominal - s/ desvalorização cambial,Finanças públicas,0,1,0
1085,NFSP - estados e municípios - nominal - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,3,0
1086,NFSP - estados e municípios - primário - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,1,0
1087,NFSP - estados e municípios - primário - s/ desvalorização cambial,Finanças públicas,0,1,0
1088,NFSP - estados e municípios - primário - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,3,0
1089,NFSP - gov. federal e Banco Central - juros nominais - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,0,0
1090,NFSP - gov. federal e Banco Central - juros nominais - s/ desvalorização cambial,Finanças públicas,0,1,0
1091,NFSP - gov. federal e Banco Central - juros nominais - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,0,0
1092,NFSP - gov. federal e Banco Central - nominal - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,1,0
1093,NFSP - gov. federal e Banco Central - nominal - s/ desvalorização cambial,Finanças públicas,0,1,0
1094,NFSP - gov. federal e Banco Central - nominal - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,2,0
1095,NFSP - gov. federal e Banco Central - primário - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,1,0
1096,NFSP - gov. federal e Banco Central - primário  - s/ desvalorização cambial,Finanças públicas,0,1,0
1097,NFSP - gov. federal e Banco Central - primário - s/ desvalorização cambial - acum. 12 meses,Finanças públicas,0,3,0
1107,Dívida mobiliária (Saldos) - Títulos do Tesouro Nacional-posição em carteira - NTN,Finanças públicas,0,0,0
1503,Contribuição - Finsocial / Cofins - total - receita bruta,Finanças públicas,0,0,0
1504,Contribuição social sobre o lucro líquido (CSLL) - total - receita bruta,Finanças públicas,0,0,0
1505,Demais receitas - receita bruta,Finanças públicas,0,0,0
1506,Imposto sobre a importação (II) - total - receita bruta,Finanças públicas,0,0,0
1507,Imposto sobre operações financeiras (IOF) - total - receita bruta,Finanças públicas,0,0,0
1508,Imposto sobre produtos industrializados (IPI) - total - receita bruta,Finanças públicas,0,0,0
1509,Imposto sobre produtos industrializados (IPI) - bebidas - receita bruta,Finanças públicas,0,0,0
1510,Imposto sobre produtos industrializados (IPI) - fumo - receita bruta,Finanças públicas,0,0,0
1511,Imposto sobre produtos industrializados (IPI) - outros - receita bruta,Finanças públicas,0,0,0
1512,Imposto sobre produtos industrializados (IPI) - automóveis - receita bruta,Finanças públicas,0,0,0
1513,Imposto sobre produtos industrializados (IPI) - vinculado à importação - receita bruta,Finanças públicas,0,0,0
1514,Imposto sobre a renda (IR) - total - receita bruta,Finanças públicas,0,0,0
1515,Imposto sobre a renda (IR) - pessoas físicas - total - receita bruta,Finanças públicas,0,0,0
1516,Imposto sobre a renda (IR) - pessoas jurídicas - total - receita bruta,Finanças públicas,0,0,0
1517,Imposto sobre a renda (IR) - retido nas fontes - total - receita bruta,Finanças públicas,0,0,0
1518,Imposto sobre a renda (IR) - retido nas fontes - outros rendimentos - receita bruta,Finanças públicas,0,0,0
1519,Imposto sobre a renda (IR) - retido nas fontes - rendimento do capital - receita bruta,Finanças públicas,0,0,0
1520,Imposto sobre a renda (IR) - retido nas fontes - rendimento de remessa p/ ext. - receita bruta,Finanças públicas,0,0,0
1521,Imposto sobre a renda (IR) - retido nas fontes - rendimento do trabalho - receita bruta,Finanças públicas,0,0,0
1522,Imposto sobre a propriedade territorial rural (ITR) - receita bruta,Finanças públicas,0,1,0
1523,Outras receitas administradas - receita bruta,Finanças públicas,0,1,0
1524,Contribuição - PIS / Pasep - total - receita bruta,Finanças públicas,0,0,0
1525,Arrecadação das receita federais - receita bruta,Finanças públicas,0,0,0
1526,Receita administrada pela SRF - receita bruta,Finanças públicas,0,0,0
1527,Câmbio contratado - financeiro - compra,Câmbio,1,0,0
1528,Taxa de câmbio - R$ / US$ - comercial - compra - média,Câmbio,1,0,0
1529,Taxa de câmbio - R$ / US$ - comercial - compra - fim período,Câmbio,0,0,0
1530,Taxa de câmbio - R$ / US$ - comercial - venda - média,Câmbio,1,0,0
1531,Taxa de câmbio - R$ / US$ - comercial - venda - fim período,Câmbio,0,0,0
1532,Câmbio contratado - comercial - importação,Câmbio,1,0,0
1533,Câmbio contratado - comercial - importação - média diária,Câmbio,0,0,0
1534,Câmbio contratado - comercial,Câmbio,0,3,0
1535,Câmbio contratado - comercial - média diária,Câmbio,0,3,0
1536,Câmbio contratado - financeiro,Câmbio,1,1,0
1537,Câmbio contratado - comercial e financeiro,Câmbio,0,1,0
1538,Câmbio contratado - financeiro - venda,Câmbio,1,0,0
1539,Câmbio contratado - comercial - exportação,Câmbio,0,0,0
1540,Câmbio contratado - comercial - exportação - média diária,Câmbio,0,0,0
1541,Taxa de paridade do poder de compra (PPC) - consumo das famílias,Câmbio,1,0,0
1542,PIB,Contas nacionais,1,0,0
1543,PIB - acumulado 12 meses,Contas nacionais,1,0,0
1548,Consumo aparente - bens de consumo - índice (média 2012 = 100),Contas nacionais,1,0,0
1549,Consumo aparente - bens de consumo duráveis - índice (média 2012 = 100),Contas nacionais,0,0,0
1550,Consumo aparente - bens de consumo duráveis - índice dessaz. (média 2012 = 100),Contas nacionais,0,0,0
1551,Consumo aparente - bens de consumo - índice dessaz. (média 2012 = 100),Contas nacionais,1,0,0
1552,Consumo aparente - bens de consumo semi e não duráveis - índice (média 2012 = 100),Contas nacionais,0,0,0
